stock,abs_error,rel_score,abs_pass,rel_pass
s1,0.011736387408666489,-0.05638786291342868,False,False
s2,0.023403862921587193,-0.007094507187945798,False,False
s3,0.02169010075977902,0.0019199326406967865,False,True
s4,0.018775859384207234,-0.055230284023894294,False,False
s5,0.02071468057652167,-0.003624090165581517,False,False
s6,0.015716713018085,-0.04122901380781596,False,False
s7,0.020192184679866866,-0.03612694507764935,False,False
s8,0.01576126183342516,-0.061171288105002164,False,False
s9,0.021680179939352402,-0.0077685924137682605,False,False
s10,0.019403721566050504,0.06478040068509427,False,True
s11,0.016238425536277756,-0.0074854182251915535,False,False
s12,0.02270565330278195,-0.028371212110152477,False,False
s13,0.01940235657833985,-0.044518478517114435,False,False
s14,0.02186337392608939,-0.01705100404442983,False,False
s15,0.01531655100244583,-0.07383474232994813,False,False
s16,0.017665379935600613,-0.009617130366658122,False,False
s17,0.016428138302161242,-0.014730647561010723,False,False
s18,0.017522103238250705,0.02008780290398815,False,True
s19,0.018515466681443656,-0.020940425798422257,False,False
s20,0.02089421924622025,-0.018110892611106655,False,False
s21,0.017325709606257275,-0.02835232087879569,False,False
s22,0.031762490286979195,-0.015801994313673573,False,False
s23,0.016986554982816017,0.05584647023342326,False,True
s24,0.01427301191156346,-0.041843651602048615,False,False
s25,0.012286011188026979,0.002261138209065483,False,True
s26,0.024505357637496075,0.013267862989238766,False,True
s27,0.011793491326934868,-0.0029370051434987055,False,False
s28,0.01260295227402877,0.06902367148004596,False,True
s29,0.022262577101552515,0.016879010027159302,False,True
s30,0.01475219605261082,-0.0305982724169922,False,False
